Make,Horsepower,Torque,Highway_MPG
Scion,156.615,156,29.846
MINI,160.968,155.032,33.871
Kia,179.741,170.674,30.948
Honda,188.225,175.27,30.41
Volkswagen,192.496,210.488,30.194
Mitsubishi,195.353,196.196,26.686
Subaru,205.21,200.867,26.533
Saab,222.542,236.186,27.525
Lotus,231,168.091,26.364
Volvo,247.243,254.204,25.718
Toyota,253.449,257.145,23.938
Acura,262.848,239.273,25.848
Mercedes,280.219,298.875,23.156
Audi,300.184,297.908,25.172
Lexus,301.615,278.923,25.25
Infiniti,322.129,281.424,24.294
Cadillac,340.98,324.76,22.52
BMW,347.18,349.534,24.323
Land Rover,373.857,363.286,19.543
Porsche,376.549,330.059,24
Mercedes-Benz,388.429,421.143,20.429
Maserati,422.5,353.667,19.417
Jaguar,448.75,418.795,22.182
Aston Martin,470,413.651,18.442
Rolls-Royce,475,539.8,18.4
Mercedes-AMG,494.833,512.667,16.833
AMG,525.9,527.7,18.9
Ferrari,540,434,16
Lamborghini,554.8,398,20
Bentley,577.444,576.333,16.222
Maybach,599.846,720.923,16
